Song
1.36
42
2000 Miles (The Pretenders cover) 
Adventure of a Lifetime 
Aliens 
All I Can Think About Is You 
All Your Friends[a] 
Always in My Head 
Amazing Day 
Amor Argentina (live) 
Amsterdam 
Animals 
Another's Arms 
Arabesque 
Army of One 
Atlas 
Bigger Stronger[b] 
Birds 
Brasileiros (Paulistanos / Gaúchos) (live) 
Broken 
Brothers & Sisters 
Careful Where You Stand 
Cemeteries of London 
Champion of the World 
Charlie Brown 
Chinese Sleep Chant (hidden track) 
Christmas Lights 
Church 
Clocks 
Colour Spectrum 
Crests of Waves 
Cry Cry Cry 
Daddy 
Daylight 
De Música Ligera (live) (Soda Stereo cover) 
Death and All His Friends 
Death Will Never Conquer 
Don't Let It Break Your Heart 
Don't Panic[d] 
E-Lo (feat. Jozzy) (Los Unidades & Pharrell Williams) 
Easy to Please 
Èkó 
End Credits (live) 
The Escapist (hidden track) 
Everglow 
Every Teardrop Is a Waterfall 
Everyday Life 
Everything's Not Lost 
Fix You 
Flags 
Fly On (hidden track) 
For You 
Fun (feat. Tove Lo) 
Ghost Story[a] 
Glass of Water 
God Put a Smile upon Your Face 
The Goldrush 
Gravity 
Green Eyes 
Guns 
The Hardest Part 
Have Yourself a Merry Little Christmas (Judy Garland cover) 
A Head Full of Dreams 
Help Is Round the Corner 
High Speed[d] 
A Hopeful Transmission 
How You See the World[e] 
Hurts Like Heaven 
Hymn for the Weekend[f] 
Hypnotised 
I Bloom Blaum 
I Ran Away 
In My Place 
Ink 
Kaleidoscope 
Lhuna (Coldplay and Kylie Minogue) 
Life in Technicolor ii 
Life in Technicolor 
Life Is for Living (hidden track) 
Lips Like Sugar (live) (Echo & the Bunnymen cover) 
Lost![g] 
Lovers in Japan[h] 
Low 
Magic 
Major Minus 
A Message[i] 
Midnight 
Miracles (Someone Special) (with Big Sean) 
Miracles 
M.M.I.X. 
Mooie Ellebogen (live) 
Moses (live) 
Moving to Mars 
Murder 
Mylo Xyloto 
No More Keeping My Feet on the Ground 
Now My Feet Won't Touch the Ground 
O (Reprise)[a] 
O 
Oceans 
Ode to Deodorant (Credited to The Coldplay) 
Old Friends 
One I Love 
Only Superstition 
Orphans 
Parachutes 
Paradise 
Politik 
Poppyfields[j] 
Postcards from Far Away 
Pour Me (live) 
Princess of China (Coldplay and Rihanna) 
Proof 
Prospekt's March[k] 
Rainy Day 
Reign of Love[l] 
A Rush of Blood to the Head 
The Scientist 
See You Soon 
Shiver 
A Sky Full of Stars 
Sleeping Sun 
Something Just Like This (The Chainsmokers and Coldplay) 
Sparks 
Speed of Sound 
A Spell a Rebel Yell 
Spies 
Square One 
Strawberry Swing 
Such a Rush[b] 
Sunrise 
Swallowed in the Sea 
Talk 
Things I Don't Understand 
Til Kingdom Come[m] (hidden track) 
Timbuktu (feat. Stormzy & Jess Kent) (Cassper Nyovest & Los Unidades) 
Trouble in Town 
Trouble 
True Love 
Twisted Logic 
U.F.O. 
Up & Up 
Up in Flames 
Up with the Birds 
Us Against the World 
Violet Hill 
Viva la Vida 
Voodoo (feat. Tiwa Savage, Wizkid, Danny Ocean and David Guetta) (Stargate & Los Unidades) 
Warning Sign 
We All Fall in Love Sometimes (Elton John cover) 
We Can Work It Out (The Beatles cover) 
We Never Change 
What If 
When I Need a Friend 
A Whisper 
White Shadows 
Wish I Was Here (with Cat Power) 
The World Turned Upside Down 
WOTW / POTP 
X Marks the Spot (hidden track) 
X&Y 
Yellow 
Yes 
You Only Live Twice (live) (Nancy Sinatra cover) 
بنی آدم[c] 
